CustomerID,FirstName,LastName,Email,Gender,State,City,JoinDate,PrimeMember
1,First1,Last1,c1@mail.com,F,NY,New York,2026-04-27,Yes
2,First2,Last2,c2@mail.com,M,WA,Seattle,2022-05-06,Yes
3,First3,Last3,c3@mail.com,F,NY,New York,2025-10-02,No
4,First4,Last4,c4@mail.com,M,WA,Seattle,2023-05-21,Yes
5,First5,Last5,c5@mail.com,F,WA,Seattle,2023-02-19,Yes
6,First6,Last6,c6@mail.com,F,WA,Seattle,2022-04-16,Yes
7,First7,Last7,c7@mail.com,F,TX,Dallas,2026-02-09,No
8,First8,Last8,c8@mail.com,F,FL,Miami,2023-10-19,No
9,First9,Last9,c9@mail.com,M,FL,Miami,2022-01-19,Yes
10,First10,Last10,c10@mail.com,M,FL,Miami,2024-07-25,No
11,First11,Last11,c11@mail.com,M,CA,Los Angeles,2025-11-19,No
12,First12,Last12,c12@mail.com,F,CA,Los Angeles,2025-09-02,Yes
13,First13,Last13,c13@mail.com,F,TX,Dallas,2024-12-07,No
14,First14,Last14,c14@mail.com,M,TX,Dallas,2026-05-04,No
15,First15,Last15,c15@mail.com,M,WA,Seattle,2025-02-05,No
16,First16,Last16,c16@mail.com,M,WA,Seattle,2023-06-23,No
17,First17,Last17,c17@mail.com,F,CA,Los Angeles,2022-02-11,No
18,First18,Last18,c18@mail.com,M,CA,Los Angeles,2026-04-01,Yes
19,First19,Last19,c19@mail.com,F,FL,Miami,2023-09-18,Yes
20,First20,Last20,c20@mail.com,F,NY,New York,2026-02-13,Yes
21,First21,Last21,c21@mail.com,F,TX,Dallas,2024-05-08,No
22,First22,Last22,c22@mail.com,M,NY,New York,2024-04-11,No
23,First23,Last23,c23@mail.com,M,CA,Los Angeles,2023-01-31,No
24,First24,Last24,c24@mail.com,F,CA,Los Angeles,2024-12-22,No
25,First25,Last25,c25@mail.com,F,NY,New York,2022-11-25,Yes
26,First26,Last26,c26@mail.com,F,TX,Dallas,2022-11-23,No
27,First27,Last27,c27@mail.com,M,FL,Miami,2024-05-21,Yes
28,First28,Last28,c28@mail.com,F,NY,New York,2025-01-03,Yes
29,First29,Last29,c29@mail.com,M,CA,Los Angeles,2026-02-08,No
30,First30,Last30,c30@mail.com,M,FL,Miami,2023-08-06,No
31,First31,Last31,c31@mail.com,F,FL,Miami,2023-11-05,Yes
32,First32,Last32,c32@mail.com,F,NY,New York,2025-05-21,Yes
33,First33,Last33,c33@mail.com,F,FL,Miami,2024-11-22,Yes
34,First34,Last34,c34@mail.com,M,FL,Miami,2025-05-10,No
35,First35,Last35,c35@mail.com,M,FL,Miami,2025-09-14,Yes
36,First36,Last36,c36@mail.com,F,TX,Dallas,2024-02-22,No
37,First37,Last37,c37@mail.com,F,TX,Dallas,2024-02-25,No
38,First38,Last38,c38@mail.com,M,FL,Miami,2024-12-29,No
39,First39,Last39,c39@mail.com,F,WA,Seattle,2024-02-05,No
40,First40,Last40,c40@mail.com,M,CA,Los Angeles,2022-02-21,No
41,First41,Last41,c41@mail.com,F,FL,Miami,2022-05-17,Yes
42,First42,Last42,c42@mail.com,F,WA,Seattle,2023-03-12,No
43,First43,Last43,c43@mail.com,M,FL,Miami,2023-05-03,No
44,First44,Last44,c44@mail.com,F,TX,Dallas,2022-10-01,Yes
45,First45,Last45,c45@mail.com,M,WA,Seattle,2023-04-04,No
46,First46,Last46,c46@mail.com,M,TX,Dallas,2023-09-04,No
47,First47,Last47,c47@mail.com,M,WA,Seattle,2022-03-12,No
48,First48,Last48,c48@mail.com,M,TX,Dallas,2024-01-07,Yes
49,First49,Last49,c49@mail.com,F,NY,New York,2025-07-18,Yes
50,First50,Last50,c50@mail.com,M,WA,Seattle,2022-10-13,Yes
51,First51,Last51,c51@mail.com,M,NY,New York,2025-06-24,Yes
52,First52,Last52,c52@mail.com,M,CA,Los Angeles,2025-07-31,Yes
53,First53,Last53,c53@mail.com,F,NY,New York,2022-04-14,No
54,First54,Last54,c54@mail.com,F,WA,Seattle,2026-02-23,No
55,First55,Last55,c55@mail.com,F,CA,Los Angeles,2025-10-04,No
56,First56,Last56,c56@mail.com,F,NY,New York,2023-07-23,No
57,First57,Last57,c57@mail.com,F,FL,Miami,2025-01-28,Yes
58,First58,Last58,c58@mail.com,F,CA,Los Angeles,2023-08-08,No
59,First59,Last59,c59@mail.com,F,WA,Seattle,2025-07-04,Yes
60,First60,Last60,c60@mail.com,M,NY,New York,2023-06-21,No
61,First61,Last61,c61@mail.com,M,NY,New York,2022-04-27,Yes
62,First62,Last62,c62@mail.com,F,FL,Miami,2026-01-25,No
63,First63,Last63,c63@mail.com,M,WA,Seattle,2022-04-11,No
64,First64,Last64,c64@mail.com,M,FL,Miami,2026-05-09,No
65,First65,Last65,c65@mail.com,F,TX,Dallas,2025-07-06,Yes
66,First66,Last66,c66@mail.com,F,WA,Seattle,2022-08-14,Yes
67,First67,Last67,c67@mail.com,M,CA,Los Angeles,2025-12-17,Yes
68,First68,Last68,c68@mail.com,M,TX,Dallas,2024-08-27,No
69,First69,Last69,c69@mail.com,M,NY,New York,2024-04-27,No
70,First70,Last70,c70@mail.com,M,FL,Miami,2023-04-14,Yes
71,First71,Last71,c71@mail.com,F,TX,Dallas,2024-04-04,No
72,First72,Last72,c72@mail.com,M,TX,Dallas,2022-11-27,No
73,First73,Last73,c73@mail.com,F,WA,Seattle,2023-09-03,No
74,First74,Last74,c74@mail.com,F,WA,Seattle,2023-01-26,No
75,First75,Last75,c75@mail.com,F,TX,Dallas,2024-08-10,Yes
76,First76,Last76,c76@mail.com,M,NY,New York,2025-01-24,No
77,First77,Last77,c77@mail.com,M,FL,Miami,2023-05-08,Yes
78,First78,Last78,c78@mail.com,F,NY,New York,2024-02-15,Yes
79,First79,Last79,c79@mail.com,M,TX,Dallas,2022-06-01,Yes
80,First80,Last80,c80@mail.com,M,FL,Miami,2022-04-09,Yes
81,First81,Last81,c81@mail.com,F,FL,Miami,2024-03-05,No
82,First82,Last82,c82@mail.com,M,FL,Miami,2025-07-29,No
83,First83,Last83,c83@mail.com,F,CA,Los Angeles,2026-01-24,Yes
84,First84,Last84,c84@mail.com,M,WA,Seattle,2025-08-05,Yes
85,First85,Last85,c85@mail.com,M,TX,Dallas,2023-06-17,Yes
86,First86,Last86,c86@mail.com,M,WA,Seattle,2023-06-08,No
87,First87,Last87,c87@mail.com,F,CA,Los Angeles,2023-09-14,Yes
88,First88,Last88,c88@mail.com,M,WA,Seattle,2023-03-03,Yes
89,First89,Last89,c89@mail.com,F,WA,Seattle,2022-11-21,No
90,First90,Last90,c90@mail.com,F,FL,Miami,2023-10-19,Yes
91,First91,Last91,c91@mail.com,F,NY,New York,2022-11-14,Yes
92,First92,Last92,c92@mail.com,F,CA,Los Angeles,2022-07-14,Yes
93,First93,Last93,c93@mail.com,M,WA,Seattle,2022-12-13,Yes
94,First94,Last94,c94@mail.com,M,FL,Miami,2023-11-08,No
95,First95,Last95,c95@mail.com,F,WA,Seattle,2025-04-15,No
96,First96,Last96,c96@mail.com,M,WA,Seattle,2022-07-08,No
97,First97,Last97,c97@mail.com,F,CA,Los Angeles,2025-04-30,Yes
98,First98,Last98,c98@mail.com,M,NY,New York,2025-04-28,Yes
99,First99,Last99,c99@mail.com,F,WA,Seattle,2025-05-04,Yes
100,First100,Last100,c100@mail.com,F,TX,Dallas,2023-09-11,Yes
101,First101,Last101,c101@mail.com,M,TX,Dallas,2026-02-22,No
